Temperature,Fe,O2,Silicate,Nitrate,pH,Phosphate,Salinity,SPCO2,Chla,PAR,DOC,NH4,NPP
0.3836697433142776,0.01569448698027829,0.4962012239337956,0.15355955585156153,0.9931064079434989,0.6570173386070515,0.9946511409545378,0.8524932741621727,0.3755397051603937,0.2986154926178796,0.6843078455574252,0.25073343904435397,0.9405765664176771,0.13696422188410642
0.3830762566154141,0.015200203565681466,0.49689623838949837,0.1552669316539671,1.0,0.6594680894370164,0.9999999999999999,0.8517535302426207,0.37767888999806565,0.3016816363321636,0.7037030815482452,0.2506169891467543,0.9307131711129308,0.1387052308265078
0.39878421708474787,0.015022261536426613,0.48174753358412437,0.13554810124105127,0.9306573760974931,0.6502823245098597,0.9428406556267959,0.8534775681156417,0.37862196747923393,0.28725900365901813,0.7121924388231587,0.2577669232086407,0.9640637376151235,0.14154661205895566
0.3987178618834642,0.014666377477916898,0.48174201394582616,0.1368139372035453,0.9354716063394604,0.6491372066338741,0.9460528762177652,0.8535877694001386,0.38082889025143074,0.28923797743689006,0.7125096388268944,0.25726833706472496,0.9517202720278948,0.14028164556962022
0.39873431114414853,0.014270950746239443,0.4818628135298293,0.13876996069634764,0.942680801759939,0.6521621711964443,0.9516221844567524,0.8530250879061692,0.3837026851645131,0.290503327122102,0.7043734295945151,0.25668893718928826,0.9413459661652306,0.1369338905349411
0.3956061279885323,0.013915066687729731,0.4837612241269831,0.14158898762001768,0.9531858289436983,0.6539294918489773,0.960114938025869,0.8521810656652151,0.38325020470418725,0.29166466252229006,0.6982937822806202,0.2554111901275589,0.9322727528961715,0.13362016008935218
0.3937578023792979,0.013460325946300655,0.48586167648434,0.14432408093322163,0.9629703202678037,0.6570305769640008,0.9683384416209471,0.8507188341512812,0.38442101279911656,0.292631537733109,0.7237368096143538,0.2549440457761762,0.9252504632444081,0.13569206255228297
0.39332138806189954,0.013025356541455452,0.48710256016923226,0.1468642613339278,0.9722822919668521,0.6595028401239986,0.9767812626891046,0.8491632020654738,0.38819976863285044,0.290998974653877,0.7303956010706072,0.2549308863294032,0.9275406107185435,0.1341605733468522
0.39154342326233893,0.012649701146361868,0.48863109750418077,0.14923611155252303,0.9815033604525852,0.6606512675892269,0.9855238653103432,0.8477977882175063,0.3897175007697833,0.28985572827293343,0.7356327356495339,0.25468498717802424,0.9356238589338693,0.13141348659717048
0.39159122790017614,0.012550844463442502,0.48941465615758206,0.15103551652979116,0.9889704101177597,0.6608531525326775,0.992940302990167,0.8470200006503867,0.3942343318207928,0.28701298847180595,0.7416655572760025,0.2547547706676636,0.9468053367320091,0.13023032389453085
0.4020374277547075,0.020754762865554714,0.4719920903583188,0.12159668478755112,0.8482737811479961,0.6842949730980052,0.867164947011232,0.8605230466195852,0.3361008017965681,0.3955472340464046,0.6290733990526677,0.2582695116173902,0.892657160847063,0.16422183545021968
0.40660592262230344,0.01652488311680095,0.4743173529838589,0.1216934624426122,0.8762455066019016,0.6432362090243906,0.8973634768939373,0.8552857804064846,0.3632485861476,0.3570286927208668,0.7439953165196068,0.26107109700093967,0.9606716737832933,0.16371031272550626
0.4084272924570431,0.016149227721707366,0.4731619087001231,0.12109804431684623,0.8747816106991638,0.642114258273061,0.8967107353633412,0.8552463129697114,0.36698192254118767,0.34727491963623486,0.7518518665855982,0.2622632276133477,0.9704225110019424,0.16239478778135139
0.41044483860433584,0.0158328863363654,0.4716819556814442,0.12061894205913218,0.8731237092372729,0.6405190362608515,0.8958402433572051,0.8550847413706839,0.37082986943345464,0.3360631452556973,0.7615629780451394,0.2634311205099232,0.9807634438471655,0.16168090096080037
0.4166169886408071,0.014025390745867743,0.46554992501341386,0.12034221014263358,0.874644960738888,0.6342175783536987,0.8959999900508092,0.8554472381023759,0.3880963360111551,0.2891276323183797,0.75273097483845,0.2659667633998068,0.9791820179070541,0.1490674609048231
0.4153357028652041,0.013796438668226494,0.4663681538948754,0.12212749480394894,0.880934302215106,0.6368023675477588,0.9006085795602581,0.855402929782304,0.38946473171157736,0.28694605813085416,0.7482275506090501,0.26530161900257415,0.9680617644263656,0.1467903946388682
0.41401541165708017,0.01355918262922002,0.4674267745234657,0.1244707978352636,0.88921977594042,0.6400722417138631,0.9069363146083346,0.8550858804020482,0.3912502857810549,0.2828560576637592,0.7434907490182573,0.26413369408788007,0.9560863728824065,0.14429283321282388
0.41261180707772555,0.013250156638414086,0.46872820174093976,0.12712672478689646,0.898153968051665,0.6417733705816531,0.9140981898069297,0.8542969303275585,0.39296612715774026,0.28139443840238015,0.748084923916209,0.2631728783737972,0.9459388518428086,0.14377226359257073
